step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
2,carved-strombus-shell,0.5440236658743152,0.4886991759584631,2.0351250000000007,,What are the designs on the shell?,,,,,,,,,
3,carved-strombus-shell,0.38613138686131376,0.33461538461538476,1.5,,How was it produced?,,,,,,,,,
4,carved-strombus-shell,0.23720690949147238,0.47102946804439333,1.5075,,How was it used?,,,,,,,,,
5,carved-strombus-shell,0.5,0.5,1,,Why was it found in Chavin?,,,,,,,,,
6,carved-strombus-shell,0.5,0.5,1,,How does the intersection of between natural materials and craftsmanship inform the object's use and the Chavin belief system?,"The object's designs take aspects of the natural world, for example, traits from powerful animals, which are in turn carved onto a natural material (shell). This is used as one component in a ritual to connect humans to a plane above the natural world. ",,,,,,,,
